COMM_CODE,COMM_NAME,COMM_WT,INDEX20122013,INDEX20132014,INDEX20142015,INDEX20152016,INDEX20162017,INDEX20172018,INDEX20182019,INDEX20192020,INDEX20202021,INDEX20212022
1000000000,All commodities,100.00000,106.9,112.5,113.9,109.7,111.6,114.9,119.8,121.8,123.4,139.4
1100000000,I    PRIMARY ARTICLES,22.61756,111.4,122.4,125.1,124.6,128.9,130.6,134.2,143.3,145.7,160.7
1101000000,(A).  FOOD ARTICLES,15.25585,110.9,124.5,131.5,134.9,140.3,143.2,143.7,155.8,160.7,167.3
1101010000,a.  FOOD GRAINS (CEREALS+PULSES),3.46238,115.1,124.5,128.4,137.3,152.0,142.6,146.7,159.6,159.3,163.5
1101010100,a1. CEREALS,2.82378,114.1,126.6,129.9,131.3,142.7,143.1,151.0,162.3,158.1,160.7
1101010101,Paddy,1.43052,113.2,129.1,136.6,134.7,143.6,149.4,155.3,160.5,163.5,162.3
1101010102,Wheat,1.02823,115.3,124.9,123.4,128.4,142.1,138.7,149.4,159.2,152.9,160.1
1101010103,Jowar,0.06764,96.8,100.4,115.8,113.9,124.5,123.4,130.3,161.1,154.3,143.3
1101010104,Bajra,0.08637,120.0,133.0,129.6,133.8,155.1,139.1,150.4,193.7,161.2,167.9
1101010105,Maize,0.18927,116.0,123.1,118.5,125.5,137.0,124.7,133.2,175.4,143.3,152.1
1101010106,Barley,0.01437,115.6,119.2,126.8,129.1,155.2,140.6,149.8,172.9,154.6,169.0
1101010107,Ragi,0.00738,139.9,167.5,161.0,161.0,198.6,234.1,214.7,220.9,228.3,231.7
1101010200,a2. PULSES,0.63860,120.0,114.9,121.7,164.0,192.8,140.5,127.3,147.6,164.7,176.0
1101010201,Gram,0.26377,135.3,109.4,103.0,142.0,219.2,164.8,135.7,145.1,153.2,167.6
1101010202,Arhar,0.12914,109.8,118.0,128.1,193.2,181.1,116.8,118.2,149.8,165.9,177.6
1101010203,Moong,0.07088,108.6,122.6,145.7,165.2,136.8,114.0,119.6,142.8,170.0,166.1
1101010204,Masur,0.05299,115.5,132.9,153.9,188.0,176.9,135.4,122.9,139.8,160.3,192.5
1101010205,Urad,0.09165,96.6,100.4,124.1,180.0,201.6,128.2,114.3,149.4,186.7,183.4
1101010206,Peas/Chawali,0.02444,131.1,137.5,132.7,132.8,141.3,135.7,165.4,188.7,196.7,210.3
1101010207,Rajma,0.00573,151.0,176.4,164.7,155.5,159.6,151.4,132.8,137.4,158.9,223.9
1101020000,b.  FRUITS & VEGETABLES,3.47508,114.9,140.4,146.5,139.2,138.7,155.9,147.3,174.7,179.2,187.6
1101020100,b1. VEGETABLES,1.87448,123.5,163.6,159.4,145.7,138.0,164.0,150.2,197.0,203.6,204.5
1101020101,Potato,0.27737,162.9,176.5,227.3,127.5,175.6,117.9,192.6,193.9,290.7,191.4
1101020102,Sweet Potato,0.02051,100.2,104.7,117.8,71.0,71.0,71.0,69.5,68.6,69.9,82.6
1101020103,Onion,0.16445,126.1,270.5,194.0,253.6,117.4,212.0,138.0,306.5,255.2,237.1
1101020104,Tapioca,0.07213,103.1,184.9,136.0,109.1,171.9,177.0,135.3,165.2,165.6,160.0
1101020105,Ginger (Fresh),0.02124,121.4,280.2,266.2,184.8,141.9,131.0,215.9,310.6,191.3,138.5
1101020106,Peas (Green),0.13654,122.9,143.9,170.0,169.8,154.3,135.0,178.9,180.9,157.8,208.4
1101020107,Tomato,0.28446,116.5,160.5,160.6,173.6,131.6,222.5,151.1,249.0,257.7,269.0
1101020108,Cauliflower,0.16697,110.5,125.6,122.6,110.9,118.2,107.6,140.2,192.0,177.7,231.9
1101020109,Brinjal,0.24125,110.2,134.6,122.4,123.0,125.8,177.5,160.0,179.2,172.4,214.9
1101020110,Okra (Lady finger),0.14592,101.4,109.7,95.8,91.3,90.0,126.9,125.1,135.7,142.0,177.4
1101020111,Cabbage,0.12251,133.1,169.6,157.4,150.4,149.9,206.7,135.6,165.8,139.1,161.8
1101020112,Carrot,0.01874,131.5,124.8,155.8,162.7,137.2,137.5,110.5,165.8,149.2,167.4
1101020113,Radish,0.03942,114.9,139.3,117.7,113.9,132.1,115.7,103.7,136.5,141.2,173.2
1101020114,Cucumber,0.00906,108.4,123.0,113.6,119.1,132.0,132.2,148.1,169.2,163.7,168.2
1101020115,Pointed gourd,0.00210,116.1,143.3,127.4,109.7,117.1,107.2,113.7,141.1,145.2,167.7
1101020116,Bitter gourd,0.02261,121.2,150.7,159.5,137.1,183.1,135.1,121.9,146.6,125.4,179.7
1101020117,Bottle gourd,0.02323,114.1,161.5,161.6,138.4,129.2,129.8,133.0,152.1,147.3,164.8
1101020118,Beans,0.08309,117.2,130.0,121.6,137.6,143.3,137.1,106.9,137.2,149.4,156.8
1101020119,Pumpkin,0.00465,123.8,159.1,149.5,118.5,140.3,141.8,126.3,164.2,167.1,161.7
1101020120,Drumstick,0.01823,103.9,157.1,189.7,132.6,130.9,196.0,155.3,229.7,206.7,296.6
1101020200,b2. FRUITS,1.60060,104.9,113.3,131.5,131.6,139.5,146.5,144.0,148.6,150.7,167.7
1101020201,Banana,0.32937,113.2,132.5,146.2,137.1,144.9,158.3,140.6,133.8,129.9,146.3
1101020202,Mango,0.46209,96.0,86.8,107.3,121.2,132.1,126.7,130.2,155.4,180.8,162.3
1101020203,Apple,0.07505,106.9,104.3,110.0,101.0,109.1,114.3,108.7,104.1,113.9,130.4
1101020204,Orange,0.12653,110.5,107.8,111.8,106.9,124.0,125.2,112.8,111.1,130.0,222.5
1101020205,Cashew nut,0.06583,100.0,107.4,119.9,138.9,160.9,177.6,170.7,159.7,159.6,159.8
1101020206,Coconut (Fresh),0.07873,99.0,120.0,169.0,178.4,148.6,203.7,217.9,209.4,224.5,280.4
1101020207,Papaya,0.06368,67.8,74.6,70.0,70.5,73.3,67.7,73.8,83.0,84.9,120.6
1101020208,Grapes,0.04932,96.6,102.5,117.8,123.3,112.5,117.2,116.9,144.2,133.7,161.3
1101020209,Pineapple,0.03089,120.0,131.6,129.6,128.4,148.2,148.0,152.7,171.0,133.4,156.2
1101020210,Guava,0.04560,74.0,113.9,215.3,255.5,248.0,234.3,311.2,322.3,280.3,277.1
1101020211,Litchi,0.02955,141.2,138.5,164.7,169.8,186.2,163.4,129.8,131.7,127.5,126.7
1101020212,Lemon,0.06575,119.7,110.9,141.0,130.7,127.8,102.4,134.3,138.0,103.1,115.0
1101020213,Sapota,0.02814,115.0,111.9,115.0,103.8,107.0,115.8,149.0,162.9,147.7,164.5
1101020214,Mosambi (Sweet Orange),0.02521,100.3,107.7,115.5,113.0,142.6,113.7,125.2,159.2,144.1,163.2
1101020215,Pomengranate,0.02122,98.9,102.9,93.9,77.4,75.8,70.9,72.4,73.0,89.5,100.8
1101020216,Amla,0.01837,111.2,122.0,149.8,140.5,181.0,204.6,164.8,209.3,199.5,198.8
1101020217,Jackfruit,0.02458,141.8,123.7,131.2,112.7,181.5,207.5,129.6,112.9,149.8,126.0
1101020218,Pear,0.01001,89.6,85.5,141.9,131.0,155.1,133.6,127.1,135.0,122.5,118.0
1101020219,Almonds,0.02469,101.2,119.5,140.2,157.7,169.6,181.5,190.4,195.6,204.3,224.3
1101020220,Walnut,0.02599,116.0,144.9,164.6,168.7,171.2,182.2,184.2,192.5,221.4,225.1
1101030000,c.  MILK,4.43999,107.6,116.0,126.6,130.5,134.3,139.7,143.1,146.7,153.4,156.9
1101030001,Milk,4.43999,107.6,116.0,126.6,130.5,134.3,139.7,143.1,146.7,153.4,156.9
1101040000,"d.  EGGS,MEAT & FISH",2.40156,113.3,126.1,130.0,131.9,133.0,135.7,138.0,147.0,151.2,164.0
1101040001,Egg,0.23264,110.6,122.1,122.7,126.3,132.8,137.0,139.6,141.0,148.1,179.1
1101040002,Fish-Inland,0.52500,115.1,136.9,137.3,140.5,139.8,142.5,145.7,153.2,143.5,149.8
1101040003,Fish-Marine,0.42182,114.6,120.5,125.7,130.6,117.9,122.4,134.1,148.3,148.7,161.3
1101040004,Mutton,0.44094,109.7,120.8,129.1,134.9,133.9,131.9,131.0,132.0,156.9,172.6
1101040005,Beef and Buffalo Meat,0.16159,103.5,112.7,120.1,120.1,127.1,147.8,150.0,159.1,163.1,163.9
1101040006,Poultry Chicken,0.55906,118.1,131.0,133.7,129.1,139.0,138.2,134.6,148.8,149.8,162.6
1101040007,Pork,0.06051,107.0,115.4,124.6,123.4,133.6,136.9,141.7,167.8,185.5,197.3
1101050000,e.  CONDIMENTS & SPICES,0.52885,87.1,102.7,120.8,138.9,140.5,125.2,129.6,143.9,149.5,159.8
1101050001,Black Pepper,0.02098,129.6,139.1,183.5,183.6,186.7,158.0,135.7,128.2,123.8,147.8
1101050002,Chillies (Dry),0.14056,83.6,94.4,109.0,130.4,135.7,111.6,126.7,143.2,157.9,166.3
1101050003,Turmeric,0.10015,79.8,103.0,109.3,121.5,117.3,119.7,118.7,114.0,115.5,124.0
1101050004,Cardamom,0.01434,109.7,102.1,121.8,122.3,139.3,129.4,129.6,184.6,152.1,125.0
1101050005,Ginger (Dry),0.02098,86.7,135.9,167.6,161.0,134.7,116.0,147.8,198.3,205.5,230.6
1101050006,Betelnut/Arecanut,0.08487,103.9,111.0,149.2,177.4,166.7,169.5,187.7,192.9,218.4,260.5
